index,x1_b,x2_b,x3_b,x4_b,x5_b,x6_b,x7_b,x8_b,x9_b,x10_b,_cons_b,nobs,ncoef,F,r2adj
308,,,-0.0030397058,,0.00346715,0.0013803951,,,-0.0020484438,,0.50160295,100000,5,0.67798734,-1.2880801868231373e-5
405,0.0028496145,,-0.003051852,,0.0034645433,,,-0.0019265314,-0.002056193,,0.50183666,100000,6,0.7414648,-1.2927057313927293e-5
696,,,,0.003690758,0.003416034,0.0013420451,,-0.0019116602,,0.0024466147,0.49699444,100000,6,0.7414648,-1.2927057313927293e-5
908,,,-0.0030275725,0.0037222144,,,,-0.001920737,-0.0020717296,0.0024872709,0.50188416,100000,6,0.7414648,-1.2927057313927293e-5
388,,,-0.0030215164,,,,,-0.0019185937,-0.0020472528,,0.50497204,100000,4,0.5682179,-1.29537602140406e-5
645,0.0028477395,,-0.0030407018,,,,,-0.0019168733,,0.0024773933,0.50129116,100000,5,0.6750071,-1.300001592641209e-5
828,,,-0.003045388,0.0036920477,0.0034256761,0.0013733201,,,-0.0020725676,0.002469029,0.49856192,100000,7,0.7827896,-1.3032921906130923e-5
42,,0.001086125,,0.0037189338,,0.001351011,,,,,0.4984068,100000,4,0.5642443,-1.3072973079841788e-5
794,,0.0010888019,,0.0036997325,0.0034038755,,,,-0.0020771194,0.002465317,0.49719602,100000,6,0.7378885,-1.3105880189545616e-5
841,0.0028264672,,,0.0037126841,,,0.0021560162,,-0.0020902914,0.0024826864,0.49693444,100000,6,0.7378885,-1.3105880189545616e-5
321,0.0028444885,,,,,,0.0021449868,,-0.0020661533,,0.500016,100000,4,0.56225747,-1.3132579512964426e-5
86,,0.0010630306,-0.0030287828,,0.0034704513,,0.0021557566,,,,0.49965018,100000,5,0.6705367,-1.3178837013683165e-5
531,0.002822882,0.0010635887,,,0.0034227436,,,,,0.0024549258,0.49660027,100000,5,0.6705367,-1.3178837013683165e-5
848,,,,,0.0034416616,,0.0021608723,,-0.0020716577,0.0024695594,0.498484,100000,5,0.6705367,-1.3178837013683165e-5
925,0.002832453,,-0.0030571953,0.0036887275,0.0034230102,,,-0.0019282328,-0.002080144,0.002460041,0.4988079,100000,8,0.81145585,-1.3198397433189513e-5
180,,,-0.0030452209,,0.0034728511,0.0013581429,,-0.0019146312,,,0.50154626,100000,5,0.6690466,-1.3238444042773523e-5
79,0.0028311347,0.0010803853,-0.0030247022,0.003718889,,,0.0021508848,,,,0.49809608,100000,6,0.7343121,-1.3284703065163939e-5
146,,0.0010656551,,,0.0034514384,,,-0.0019261343,,,0.5001893,100000,4,0.55629706,-1.3311398811888253e-5
139,0.0028179088,0.0010832621,,0.0037149384,,,,-0.0019216257,,,0.49863183,100000,5,0.66606635,-1.335765810095424e-5
606,,0.0010858084,-0.0030338126,0.003702464,0.0034290194,,0.0021668961,,,0.0024567095,0.49657744,100000,7,0.77682906,-1.3390571234062065e-5
59,0.0028202739,0.0010598998,,0.003685116,0.00341699,0.0013732803,,,,,0.49530524,100000,6,0.7295437,-1.352313356584034e-5
173,0.0028445276,,-0.003041675,0.0037076627,,0.0013618228,,-0.0019099779,,,0.4999945,100000,6,0.7295437,-1.352313356584034e-5
271,0.0028395175,0.0010707289,-0.003027772,0.0037169855,,,,,-0.0020681724,,0.50021017,100000,6,0.7295437,-1.352313356584034e-5
376,,,,0.0037022918,0.0034360196,0.0013597327,0.002169954,,-0.0020609237,,0.49718153,100000,6,0.7295437,-1.352313356584034e-5
666,,0.0010882878,,0.0036987986,0.0034098667,,,-0.0019281731,,0.0024481025,0.4971271,100000,6,0.7295437,-1.352313356584034e-5
96,,,,,,0.0013692044,0.0021441702,,,,0.49972585,100000,3,0.3218575,-1.3563169632302419e-5
113,0.0028384659,,,,0.0034544535,0.0013916097,0.0021569706,,,,0.49656028,100000,5,0.6601058,-1.3596086217315673e-5
278,,0.0010534881,-0.0030316673,,0.003461211,,,,-0.0020497427,,0.5017652,100000,5,0.6601058,-1.3596086217315673e-5
456,,,,0.0037319052,,,0.0021565515,-0.001919988,-0.0020599891,,0.50052655,100000,5,0.6601058,-1.3596086217315673e-5
616,,,,0.0037158064,,0.0013623402,0.0021554374,,,0.0024746845,0.49662912,100000,5,0.6601058,-1.3596086217315673e-5
